Hindi_TAM	English_Tam
wA_hE_1	es_1
hE_1-pres	pres
0_rahA_hE_1	ing_is_1
yA_hE_1	en_has_1
wA_rahA_hE_1	ing_have_been_1
wA_rahawA_hE_1	ing_keep_on_1
yA_hE_2	ed_1
hE_1-past	past
0_rahA_WA_1	ing_was_1
yA_WA_1	en_had_1
wA_rahA_WA_1	ing_had_been_1
wA_rahawA_WA_1	ing_kept_on_1
wA_WA_1	0_used_to_1
gA_1	0_will_1
wA_rahegA_1	ing_will_be_1
wA_rahA_hogA_1	ing_might_have_been_1
0_rahA_hogA_1	ing_might_be_1
0_rahA_hogA_2	ing_must_be_1
yA_hogA_1	en_might_have_1
nA_hE_1	0_must_1
nA_WA_1	0_was_supposed_to
nA_hogA_1	0_shall_1
nA_hE_1+hI_1	0_ought_to_1
nA_padZawA_hE_1	0_have_to_1
nA_padZA_1	0_had_to_1
nA_padZawA_WA_1	0_had_to_2
nA_padZegA_1	0_will_have_to_3
nA_padZA_hogA_1	0_must_have_had_to_1
nA_cAhiye_1	0_should_1
0_sakawA_hE_1	0_can_1
0_sakawA_1	0_can_1
0_sakawA_WA_1	0_could_1
0_sakA_1	0_could_2
past	past
pres	pres
o_1	o_1
o_2	o_2
e_1	e_1
yA_jA_wA_hE_1	is_en
yA_jA_yA_1	was_en
yA_1	ed_1
0_cukA_hE_1	en_have_1
0_cukA_hogA_1	en_have_1
0_cukA_WA_1	en_had_1
0_rahA_hE_2	ing_have_been_1
0_rahA_wA_2	ing_had_been_1
0_sakawA_hE_2	0_can_1
0_sakawA_hE_3	0_might_1
AI_xI_1	past
gA_2	0_would_1
nA_cAhie_1	0_should_1
nA_cAhie_2	0_must_1
yA_hogA_2	en_might_have_1
yA_hogA_3	en_must_have_1
yA_WA_2	en_had_1
yA_gayA_hE_1	en_are_1
yA_gayA_hE_2	en_have_been_1
yA_jAwA_hE_1	en_is_1
yA_gayA_1	en_got_1
0_sakegA_1	0_will_be_able_to_1
AI_xewA_hE_1	en_have_just_1
nA_lagawA_hE_1	0_seems_to_have_to_1
wA_hogA_1	0_would_1
wA_jA_rahA_hE_1	en_is_being_ing_1
wA_jAwA_hE_1	en_is_being_1
wA_rahawA_hogA_1	ing_must_be_keeping_on_1
yA_jA_cukA_hE_1	en_have_been_already_1
yA_jA_e_1	en_got_1
yA_jA_gA_1	en_will_be_1
yA_jA_rahA_hE_1	en_is_being_ing_1
yA_jA_rahA_WA_1	en_was_being_ing_1
yA_jA_wA_WA_1	en_used_to_be_1
yA_jA_yA_hE_1	en_has_been_1
yA_jA_yA_hE_2	en_have_been_1
yA_jA_yA_WA_1	en_had_been_1
yA_jA_yA_WA_2	en_were_1
yA_jA_sakawA_hE_1	en_can_be_1
Ai_padawA_hE_1	0_have_got_to_1
yA_wA_1	en_was_1
yA_gayA_wA_1	en_had_been_1
yA_jAWA_WA_1	en_used_to_be_inf_1
nA_lagA_1	0_began_to_1
yA_nA_lagA_1	en_came_to_be_1
e_2	e_1
yA_padZA_hE_1	en_is_1
wA_wA_1	0_used_to_1
yA_jAwA_WA_1	en_used_to_be_inf_1
yA_sakwA_hE_1	en_can_be_1
